,count,mean,std,min,25%,50%,75%,max
index,4787377.0,15946471.98142323,9165551.071359288,4.0,7955496.0,16009334.0,24098548.0,31269250.0
user_id,4787377.0,-2.1639938111839322e+18,4.345472048427225e+18,-9.223360723444354e+18,-4.3244755833065917e+18,-4.3244755833065917e+18,755735916710887.0,9.223308451832518e+18
rtt_ms,4787377.0,544.9447568052401,177.72405710467095,9.0,542.0,542.0,542.0,101830.0
asn,4787377.0,271151.7562475234,173350.941395523,12.0,48043.0,393398.0,393398.0,507726.0
rtt_ms_missing,4787377.0,0.9800970343467832,0.13966689545509509,0.0,1.0,1.0,1.0,1.0
label_bin,4787377.0,0.6469181349202288,0.4779279332111852,0.0,0.0,1.0,1.0,1.0
